date,open,high,low,close,volume,adjusted
06/09/2018,2888.639893,2892.050049,2867.290039,2878.050049,3144240000,2878.050049
07/09/2018,2868.26001,2883.810059,2864.120117,2871.679932,2976580000,2871.679932
10/09/2018,2881.389893,2886.929932,2875.939941,2877.129883,2751100000,2877.129883
11/09/2018,2871.570068,2892.52002,2866.780029,2887.889893,2904500000,2887.889893
12/09/2018,2888.290039,2894.649902,2879.199951,2888.919922,3341280000,2888.919922
13/09/2018,2896.850098,2906.76001,2896.389893,2904.179932,3274090000,2904.179932
14/09/2018,2906.379883,2908.300049,2895.77002,2904.97998,3179410000,2904.97998
17/09/2018,2903.830078,2904.649902,2886.159912,2888.800049,2967980000,2888.800049
18/09/2018,2890.73999,2911.169922,2890.429932,2904.310059,3091190000,2904.310059
19/09/2018,2906.600098,2912.360107,2903.820068,2907.949951,3302460000,2907.949951
20/09/2018,2919.72998,2934.800049,2919.72998,2930.75,3406520000,2930.75
21/09/2018,2936.76001,2940.909912,2927.110107,2929.669922,5652470000,2929.669922
24/09/2018,2921.830078,2923.790039,2912.629883,2919.370117,3392030000,2919.370117
25/09/2018,2921.75,2923.949951,2913.699951,2915.560059,3330880000,2915.560059
26/09/2018,2916.97998,2931.149902,2903.280029,2905.969971,3417540000,2905.969971
27/09/2018,2911.649902,2927.219971,2909.27002,2914,3101360000,2914
28/09/2018,2910.030029,2920.530029,2907.5,2913.97998,3461680000,2913.97998
01/10/2018,2926.290039,2937.060059,2917.909912,2924.590088,3375890000,2924.590088
02/10/2018,2923.800049,2931.419922,2919.370117,2923.429932,3432620000,2923.429932
03/10/2018,2931.689941,2939.860107,2921.360107,2925.51001,3625510000,2925.51001
04/10/2018,2919.350098,2919.780029,2883.919922,2901.610107,3510370000,2901.610107
05/10/2018,2902.540039,2909.639893,2869.290039,2885.570068,3340820000,2885.570068
08/10/2018,2877.530029,2889.449951,2862.080078,2884.429932,3381820000,2884.429932
09/10/2018,2882.51001,2894.830078,2874.27002,2880.340088,3531690000,2880.340088
10/10/2018,2873.899902,2874.02002,2784.860107,2785.679932,4554260000,2785.679932
11/10/2018,2776.870117,2795.139893,2710.51001,2728.370117,4914090000,2728.370117
12/10/2018,2770.540039,2775.77002,2729.439941,2767.129883,4024010000,2767.129883
15/10/2018,2763.830078,2775.98999,2749.030029,2750.790039,3327160000,2750.790039
16/10/2018,2767.050049,2813.459961,2766.909912,2809.919922,3460260000,2809.919922
